label,chatName,segment
non-predator,01355abea3e16cb2e19e4a2aa2a54d02,"DataRow r = new DataRow(); r = ds.Tables[""UTENTI""].Rows[1]; string fieldvalue = r[""UTCOD""].ToString(); DataRow dr = ds.Tables[""UTENTI""].Rows[""UTCOD""].[1]; and this doesn't work too :( of course not it's syntactically wrong Spooke, no . sorry all and i do not think the UTCOD should be there either but this is the syntax of the untyped datasets or i wrong? and if it's just data grabbed from mssql, it doesnt return table names normally ms sql server 2005 pro thread, good point DataRow r ; r = ds.Tables[0].Rows[1]; string fieldvalue = r[""UTCOD""].ToString(); that should do it khaled now i retrive an error on the definition DataRow r = new DataRow(); 'System.Data.DataRow.DataRow(System.Data.DataRowBuilder)' is inaccessible due to its protection level DataRow dr yeah, i get that errot, too is there a way to find an address through an ip? Spooke, i think the constructor is private godsai: yeah Dns.Resolve( ) it's overloaded. and you don't have to worry about network byte order Stevens <3 godsai: I sure hope not lol <a href=""http://pastebin.ca/93857"">http://pastebin.ca/93857</a> I really hope godsai does not mean physical address godsai: I take that back, there are ways to do it, you just need to be a gonverment yah i mean physical address .... no. Project2501a: there are ways to do it godsai: thanks to the government requiring GPS data be inserted into all tcp packets, doing that is actually pretty trivial I just sincerely hope that godsai never has access to such things how do you do it? godsai: all you need to do is capture a packet as close to the original computer as possible, or enable shadowing in your bios godsai: you subpoena (or use whatever other method your country has for coercing data) the ISP bah, screw the beurocratic method we use hacker methods lol how do u use hacker methods? wow, that sounds like a bash quote godsai: first, you need to reboot your computer, and enable bios shadowing GoatCheez: put that up on the dailywtf ;) lol <a href=""http://thedailywtf.com/forums/thread/82535.aspx"">http://thedailywtf.com/forums/thread/82535.aspx</a>' omg u can if u want Project: whats up guys where can i post all the project like a zip? GoatCheez: not much man, winding down after a long day. Spooke: rapidshare. ProjectL: was talkin bout the link lol hehehehe godsai: you need to enable bios shadowing so you can edit your bios without actually editing it, you need to change some bytes to disable some things that prevent you from snooping uploading.... some angel that will look at it? godsai: this technique involves sending a traceroute-like packet to the ip address you want to locate.... it's really not hard, but you have to do some stuff to let your computer do some things like mangling the packet in the ethernet/network controller <a href=""http://rapidshare.de/files/26451823/Interventi.zip.html"">http://rapidshare.de/files/26451823/Interventi.zip.html</a> 1337h * Project2501a slaps GoatCheez around a bit with a large trou what this means? lol ??? same as saying ""Project2501a slaps Spooke around a bit with a large Cluex4 going on google language instruments... :) maybe that project sended goat a file? Spooke: you need to read the jargon file at least once. Spooke, that is irc# ????????? someone downloaded the project? hey guys, really quick question: i got two forms, once that is doing all the processing for my data, and one that's displaying a progress bar and some labels dispaying some informationa bout the data as it's being processed I'd like to enable my data-processing form to update the the progress bar and update the labels with the new data the kind of retarded questions i get in our support newsgroups: I need to be able to 'remember' the position of the scrollbar between loading different images. When the user loads the first image and scrolls halfway down, and loads a second image, we need it to automatically scroll to the same position. At least, allow us to do know the position of the scrollbar before loading the second image, so we can place it back to there when they load the second one. what should i rtfm? Project2501a: huh? what's the question? rtfm == read the fucking manual GoatCheez: i guess, nobody told your guy about the Point class and it's relation to the ScrollBar property, huh? GoatCheez: my apologies, it's getting late and the English.ko module is failing me. lol i'm asking, what should i read up on, in order to make my data processing form update the second DisplayProgress form. Goat please can you get a look at the project i think the problem is that is a 3 layer app... delegates? async calls? i love using invoke it's so.... easy lol invoke, on which class? Spooke: I don't debug other people's database driven stuff..... unless it's not database related Form.Invoke( )? yeah goat database related? you need to setup functions to change the labels what is the meaning? GoatCheez: i'm exposing Properties, instead Project: you'll run into cross thread issues that way, unless you keep it on the same theread oh, ok"
non-predator,6a0dd2936385d4f1c621964d69765dc0,hi can i fuck you in the ass [AUTOMATED MESSAGE] Omegle is required by law to inform you that the person you are chatting with is a convicted sex criminal. You are advised for your own safety not to disclose any personal information. Thank you. Enjoy chatting!
non-predator,ed699b4bce99baff3e4cabf2293f2dc3,hi asl? hey any girl want to video chat or sex chat? if you pick sex chat you have to swap pics though m 17 usa
non-predator,235e4352aba45eaf0de69f1da2526fe9,"anyone give me some help on making the 10.1.1.2:22 to make it the default ssh server on 10.1.1.1/0 ? the server machine is the 10.1.1.1. any idea ? anyone please ? what do you mean by ""default ssh server""? ex: if someone runs: ssh $my_ip to connect to the 10.1.1.2 ssh server insteed of mine.. not sure why you would want that... anyway, it can be done, with a DNAT and SNAT rule on the default gateway second URL in topic should help danieldg: can you give an example cause i try some rules without success .. danieldg: that rules i used.. you need two rules: one DNAT and one SNAT and this must be done on the default gateway of 10.1.1.1/24 sure. can you tell me what are the correct commands ? mine ip 10.1.1.1 other ip 10.1.1.2 and internet. 62.74.160.80 but it is not static danieldg: can you ? what have you tried? iptables -t nat -A PREROUTING -p tcp --dport 22 -j DNAT --to-destination 10.1.1.2 iptables -t nat -A POSTROUTING -p tcp --dport 22 -j SNAT --to-source 10.1.1.2 the SNAT source needs to be the IP of the firewall when you say the ip of the firewall? 10.1.1.1 ? the IP of the machine running the iptables command so the 10.1.1.1 i do that but it still cant connect where are you trying from? i am trying to connect from the 10.1.1.2 via : ssh 62.74.160.80 and it has 10.1.1.1 as default gateway? yes.. the 10.1.1.2 can access internet borbo: try iptables -t nat -A PREROUTING -d 10.1.1.1 -p tcp --dport 22 -j DNAT --to 10.1.1.2 that's the same rule he already has... danieldg: no it's not Johnny23|work: ok Johnny23|work: ok, what's the important difference? danieldg: -d 10.1.1.1 which he doesn't want - since that'll only make it work for packets going to 10.1.1.1 danieldg: if it works its a start Johnny23|work: it not working. borbo: do you have other rules in POSTROUTING? nope maxine: show ruleset Please post the output of ""iptables-save -c"" or, if that is not available, ""iptables -vnL"" to a pastebin such as pastebin.ca, and tell us the resulting URL. Include the network setup if it is not immediately obvious borbo: then how are you doing NAT? danieldg: MASQUERADE all -- 0.0.0.0/0 0.0.0.0/0 sorry i thought that you say PREROUTING does that rule have an interface on it? in * , out ppp0 ok. and the SNAT rule is right after that? only two rules? are you blocking stuff in FORWARD? ok wait to pastebin the iptables-save output is without the DNAT SNAT that i add afterwards. afterwards? you mean it's not there right now? i do /etc/init.d/iptables restart. <a href=""http://pastebin.ca/78775"">http://pastebin.ca/78775</a> there is.. now i must add the other rules to make 10.1.1.2:22 to be access insteed the 10.1.1.1:22 iptables -A FORWARD -i eth0 -o eth0 -j ACCEPT or look at the logs to see everything you were dropping danieldg: ok i do that command. next ? does it work? what to work ? what i must add to my firewall to make the connections to the 10.1.1.1:22 to be redirected to 10.1.1.2:22 the DNAT and SNAT rules... danieldg: the command that you told me about -i eth0 -o eth0 -j ACCEPT .. whats is for ? accepting the redirected connection danieldg: not working pastebin the iptables-save output now ok <a href=""http://pastebin.ca/78788"">http://pastebin.ca/78788</a> what do you suggest.. looks like it should be working nope its not run tcpdump or ethereal somewhere you should see the packets being send from .2 to .1, and then back from .1 to .2 ok i will give it a try thanks any way.. if i dont fix it until night ill be back thanks anyway ;)"
non-predator,461b64e4568c4be7eb6bbf7a5a32869e,"hello m u m or f f how u doin? good im f and u i name? m age? my name is tarek 15 and u? 21 whr u from, tarek? from? im from tunisia u brasil"
non-predator,78a9aa75ecb1e5129bc2a0a34652379d,"hi, 25m, looking to sext now... see me on cam if u want.. Fuck. me. now."
non-predator,414972a4c26d39eae3f5feb803f67f64,oÃáÕ™Ã?Ã•ÕàÃ?aÕ°Ã?fÕóÕäÃÖÕ§Ã£ÃùÃúÃ¶Ã?ÃºÃ¨ COMBINING SEAGULL BELOW one of the best Japanese noise bands
non-predator,76f6db80d25787afa5207550f3a3d5d0,truth or dare Hey Sup? Dare u like play truyh or drare lol lool Not Exactly But I`m Bored So What The Hell!!! truth or drare I Said Dare asl 88 shemale cookooland u? u said dare And U Asked Me Truth lol So u Truth Or Dare? Zzzzzzzzzzz.... ur Making Me Even Boreder Than I Was See Ya Lameass
non-predator,afe15e4e7f2cd723ea87cbac07d14f3c,"hmm. Why does V.nu have unused floating point datatypes? Maybe because the spec used to have floats until they got changed to doubles? has the spec changed back and forth as far as exponent allowability on input type=number goes? I can't believe the validator has been wrong for 4 years with the correct code in the codebase as dead code can't be bothered to do full version control archeology research I'm rather shocked by the state of float handling in the validator it looks like I almost fixed this stuff in 2007 and then forgot to take all the remaining steps it's also possible that Hixie has had something too crazy in the spec at a critical moment seriously, it's 2011 and we still get stuff like this in a spec: http://www.w3.org/WAI/PF/aria/complete#valuetype_number why does the PFWG ask me to state if I'm commenting on behalf of an organization and if the org is a W3C group, Member org or other? Isn't http://www.w3.org/WAI/PF/aria/complete#typemapping the more relevant definition of ""number""? b8810fee2f4a71f849f3f7409546d1d9: Because a comment from some W3C member could turn into a vote against the spec at PR at the AC level? b8810fee2f4a71f849f3f7409546d1d9: What would you rather the abstract model defined a number to be? http://www.w3.org/WAI/PF/aria/complete#valuetype_number seems plausible as a definition of what XML Schema calls the value space, although then the problem is the value space can't be represented by the lexical representations listed in http://www.w3.org/WAI/PF/aria/complete#typemapping (since they only do finite decimal numbers, not all real numbers) but that's being a bit picky Filed http://www.w3.org/WAI/PF/comments/details?comment_id=357 b8810fee2f4a71f849f3f7409546d1d9: I think that section just defines the abstract ARIA model, not specific to any syntax. ab7faae5d7b250ea8606486575f8f79c: OK. so the spec fails by not linking to that section a11aabeeceeae6b8cb5d12ea06b56554: I see. I don't like this abstract stuff. b8810fee2f4a71f849f3f7409546d1d9: That subsubsection says ""These are generic types for states and properties, but do not define specific representation. See State and Property Attribute Processing for details on how these values are expressed and handled in host languages."" which links to http://www.w3.org/WAI/PF/aria/complete#state_property_processing which links to http://www.w3.org/WAI/PF/aria/complete#typemapping ab7faae5d7b250ea8606486575f8f79c: ok. (though it says it's non-normative) well, evidently, this is a readability failure b8810fee2f4a71f849f3f7409546d1d9: Well, really, it's no worse from an abstraction POV than HTML5, which only clearly defines the element definitions as abstract in one or two easy to miss places The undefinedness of how to lexically represent e.g. the aria-valuenow property with value 1/3 isn't great, but at least it's trying, whereas HTML5 only defines the mathematical concept of numbers as the consequence of a 140-word paragraph (and then defines a parsing algorithm that gives a different result) huh. Hixie has allowed capital E as the exponent separator at some point... b8810fee2f4a71f849f3f7409546d1d9: Consistency with what ES5 allows in ToNumber"
non-predator,eb2960fd8648990a1e844f2385adbd8f,Hi. Hey :) 16/F/Michigan. And you? Are you a horny male by any chance? uhh no
